Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
XYZ1100054	29058.1062	40810.6316	11.8992	29058.1075	40810.6318	11.9	1.3	0.2	0.8	1.3	-0.3	0.8
XYZ1100055	29060.5682	40811.4389	11.8972	29060.569	40811.4394	11.8974	0.8	0.5	0.2	0.9	0.2	0.2
XYZ1100056	29062.2967	40811.807	11.8917	29062.2976	40811.8074	11.8919	0.9	0.4	0.2	1.0	0.0	0.2
XYZ1100057	29054.4342	40815.3791	11.8956	29054.4354	40815.3789	11.8957	1.2	-0.2	0.1	1.0	-0.6	0.1
XYZ1100058	29056.1087	40815.7915	11.9115	29056.1096	40815.7913	11.9116	0.9	-0.2	0.1	0.8	-0.5	0.1
XYZ1100059	29058.6006	40816.6089	11.9082	29058.6012	40816.609	11.9078	0.6	0.1	-0.4	0.6	-0.1	-0.4
XYZ1100060	29060.2645	40816.645	11.8983	29060.2654	40816.645	11.8987	0.9	0.0	0.4	0.8	-0.3	0.4
XYZ1100061	29052.9595	40819.306	11.8829	29052.9604	40819.3055	11.8823	0.9	-0.5	-0.6	0.7	-0.8	-0.6
XYZ1100062	29054.5759	40819.6362	11.8896	29054.5768	40819.6358	11.8901	0.9	-0.4	0.5	0.7	-0.7	0.5
XYZ1100063	29056.9275	40820.7038	11.8942	29056.9285	40820.7034	11.8948	1.0	-0.4	0.6	0.8	-0.7	0.6
XYZ1100064	29058.7597	40820.8089	11.8931	29058.76	40820.8085	11.8934	0.3	-0.4	0.3	0.1	-0.5	0.3
XYZ1100065	29049.8506	40827.312	11.9346	29049.8517	40827.3115	11.9349	1.1	-0.5	0.3	0.8	-0.9	0.3
XYZ1100066	29052.1603	40825.5422	11.9137	29052.1608	40825.5416	11.9139	0.5	-0.6	0.2	0.2	-0.7	0.2
XYZ1100067	29055.1528	40825.2337	11.9031	29055.153	40825.2345	11.9033	0.2	0.8	0.2	0.5	0.7	0.2
XYZ1100068	29056.5149	40825.9795	11.8999	29056.515	40825.9804	11.8998	0.1	0.9	-0.1	0.4	0.8	-0.1
XYZ1100069	29049.447	40829.5883	11.9573	29049.4472	40829.5877	11.9576	0.2	-0.6	0.3	0.0	-0.6	0.3
XYZ1100070	29050.6117	40829.6985	11.957	29050.6124	40829.6979	11.958	0.7	-0.6	1.0	0.4	-0.8	1.0
XYZ1100071	29053.0995	40830.5495	11.9494	29053.0998	40830.5502	11.9497	0.3	0.7	0.3	0.5	0.5	0.3
XYZ1100072	29054.7877	40830.8505	11.9428	29054.7879	40830.8509	11.9432	0.2	0.4	0.4	0.3	0.3	0.4
XYZ1100073	29047.3999	40833.3046	11.9762	29047.4013	40833.3042	11.9772	1.4	-0.4	1.0	1.2	-0.9	1.0
XYZ1100074	29048.9428	40833.8377	11.9826	29048.9435	40833.8371	11.9834	0.7	-0.6	0.8	0.4	-0.8	0.8
XYZ1100075	29051.5323	40834.6612	11.9742	29051.5325	40834.6616	11.9749	0.2	0.4	0.7	0.3	0.3	0.7
XYZ1100076	29053.1749	40834.8882	11.9626	29053.1751	40834.8884	11.9635	0.2	0.2	0.9	0.3	0.1	0.9
XYZ1100077	29045.789	40837.4777	11.9869	29045.7899	40837.4774	11.9878	0.9	-0.3	0.9	0.7	-0.6	0.9
XYZ1100078	29047.3432	40837.8567	11.9929	29047.3441	40837.8558	11.9936	0.9	-0.9	0.7	0.5	-1.2	0.7
XYZ1100079	29049.788	40838.8564	11.9845	29049.7878	40838.8571	11.9848	-0.2	0.7	0.3	0.1	0.7	0.3
XYZ1100080	29051.265	40839.4461	11.9772	29051.2651	40839.4462	11.978	0.1	0.1	0.8	0.1	0.1	0.8
XYZ1100081	29043.6973	40842.5201	11.9764	29043.6979	40842.52	11.9763	0.6	-0.1	-0.1	0.5	-0.3	-0.1
XYZ1100082	29045.2598	40843.0563	11.9811	29045.2606	40843.0561	11.981	0.8	-0.2	-0.1	0.7	-0.5	-0.1
XYZ1100083	29047.7109	40844.2356	11.964	29047.7114	40844.2358	11.9644	0.5	0.2	0.4	0.5	0.0	0.4
XYZ1100084	29049.2742	40844.6986	11.9662	29049.2746	40844.6989	11.9669	0.4	0.3	0.7	0.5	0.1	0.7
XYZ1100085	29041.9166	40847.0944	11.9823	29041.9171	40847.0941	11.9827	0.5	-0.3	0.4	0.4	-0.5	0.4
XYZ1100086	29045.1436	40844.3778	11.9622	29045.1445	40844.3775	11.9628	0.9	-0.3	0.6	0.7	-0.6	0.6
XYZ1100087	29045.9358	40848.5526	11.9917	29045.9357	40848.5534	11.9919	-0.1	0.8	0.2	0.2	0.8	0.2
XYZ1100088	29047.437	40849.2878	11.9868	29047.4373	40849.2885	11.9869	0.3	0.7	0.1	0.5	0.5	0.1
XYZ1100089	29039.9471	40852.1013	12.0223	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
